date,aqi,Main Pollutant,ozone,PM10,PM25,date_aqi
2001-08-21,43,Ozone,43,36,45,08/21/2001
2001-08-22,44,PM10,38,44,37,08/22/2001
2001-08-23,29,PM2.5,27,28,29,08/23/2001
2001-08-24,31,Ozone,31,13,33,08/24/2001
2001-08-25,34,Ozone,34,18,38,08/25/2001
2001-08-26,43,PM2.5,36,21,43,08/26/2001
2001-08-27,37,Ozone,37,29,40,08/27/2001
2001-08-28,43,PM10,30,43,37,08/28/2001
2001-08-29,54,PM10,36,54,34,08/29/2001
2001-08-30,47,PM10,41,47,31,08/30/2001
2001-08-31,38,Ozone,38,35,28,08/31/2001
2001-09-01,30,PM10,28,30,25,09/01/2001
2001-09-02,31,Ozone,31,22,24,09/02/2001
2001-09-03,30,Ozone,30,21,24,09/03/2001
2001-09-04,68,PM10,30,68,24,09/04/2001
2001-09-05,19,PM10,16,19,25,09/05/2001
2001-09-06,29,Ozone,29,18,26,09/06/2001
2001-09-07,27,PM2.5,23,15,27,09/07/2001
2001-09-08,28,Ozone,28,13,25,09/08/2001
2001-09-09,31,Ozone,31,17,24,09/09/2001
2001-09-10,36,PM10,31,36,23,09/10/2001
2001-09-11,26,PM10,26,26,38,09/11/2001
2001-09-12,28,Ozone,28,27,54,09/12/2001
2001-09-13,70,PM2.5,31,29,70,09/13/2001
2001-09-14,42,PM10,31,42,61,09/14/2001
2001-09-15,35,PM10,33,35,52,09/15/2001
2001-09-16,43,PM2.5,41,31,43,09/16/2001
2001-09-17,42,Ozone,42,41,39,09/17/2001
2001-09-18,39,Ozone,39,31,36,09/18/2001
2001-09-19,39,PM10,32,39,33,09/19/2001
2001-09-20,35,Ozone,35,33,42,09/20/2001
2001-09-21,38,Ozone,38,35,52,09/21/2001
2001-09-22,62,PM2.5,34,31,62,09/22/2001
2001-09-23,31,PM10,30,31,87,09/23/2001
2001-09-24,57,PM10,31,57,113,09/24/2001
2001-09-25,139,PM2.5,31,83,139,09/25/2001
2001-09-26,39,PM10,31,39,98,09/26/2001
2001-09-27,31,Ozone,31,26,58,09/27/2001
2001-09-28,26,PM10,26,26,18,09/28/2001
2001-09-29,31,Ozone,31,19,26,09/29/2001
2001-09-30,29,Ozone,29,18,35,09/30/2001
2001-10-01,44,PM2.5,31,41,44,10/01/2001
2001-10-02,37,PM10,31,37,39,10/02/2001
2001-10-03,43,PM10,32,43,34,10/03/2001
2001-10-04,29,PM2.5,29,25,29,10/04/2001
2001-10-05,45,PM10,31,45,30,10/05/2001
2001-10-06,37,Ozone,37,30,31,10/06/2001
2001-10-07,39,Ozone,39,25,33,10/07/2001
2001-10-08,35,PM10,35,35,30,10/08/2001
2001-10-09,27,Ozone,27,18,27,10/09/2001
2001-10-10,34,Ozone,34,26,25,10/10/2001
2001-10-11,22,Ozone,22,11,22,10/11/2001
2001-10-12,25,Ozone,25,16,19,10/12/2001
2001-10-13,28,Ozone,28,13,17,10/13/2001
2001-10-14,24,Ozone,24,12,29,10/14/2001
2001-10-15,23,PM10,19,23,41,10/15/2001
2001-10-16,53,PM2.5,28,39,53,10/16/2001
2001-10-17,31,Ozone,31,12,48,10/17/2001
2001-10-18,26,PM10,23,26,43,10/18/2001
2001-10-19,38,PM2.5,19,22,38,10/19/2001
2001-10-20,27,Ozone,27,20,32,10/20/2001
2001-10-21,22,Ozone,22,20,26,10/21/2001
2001-10-22,26,Ozone,26,6,20,10/22/2001
2001-10-23,25,Ozone,25,8,31,10/23/2001
2001-10-24,26,Ozone,26,10,42,10/24/2001
2001-10-25,53,PM2.5,11,21,53,10/25/2001
2001-10-26,40,PM10,15,40,41,10/26/2001
